serial_number,year,month,day,facility_id,facility_name,facility_zip,score,grade,service_description,category,size,riskLevel,owner_id,owner_name
DAXXEO0G6,2017,8,15,FA0035622,SUSHI AJITO,90028,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0039888,"YOU N I WITH Y, INC."
DAGNOFI53,2017,8,15,FA0063928,IN-N-OUT BURGER #55,90034,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0016998,"IN-N-OUT BURGERS, INC."
DARG4XT6M,2017,8,15,FA0016902,HILTON HOTEL - THE BISTRO,90045,99,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0012185,FORTUNA ENTERPRISES
DAUAI4MT7,2017,8,15,FA0072705,TOM N TOM,90020,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0036141,TOM N TOM VERMONT CALLERIA L
DA1FTYWLH,2017,8,15,FA0016902,HILTON HOTEL - THE BISTRO,90045,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0012185,FORTUNA ENTERPRISES
DAWOMGW7A,2017,8,15,FA0044468,PHILS DELI & GRILL,90036,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0006307,"CARVALHO, FRANCISCO"
DAWKC5EC5,2017,8,15,FA0017367,CVS/PHARMACY #9624,90028,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0012926,"GARFIELD BEACH CVS, LLC."
DA5GAYLJO,2017,8,15,FA0241579,THE KITCHEN COUNTER,90045,80,B,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,0-30 SEATS,HIGH RISK,OW0016382,HOST INTERNATIONAL INC
DAOJIQKCM,2017,8,15,FA0249603,GRILL CITY - PREP KITCHEN,90041,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0243832,"A & B AZUSA, INC"
DACMIL9E0,2017,8,15,FA0222104,CHOCOLATE BAR,90028,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0227013,"CHOCOLATE BA, LLC"
DAKJRHFIN,2017,8,15,FA0019271,DODGER STADIUM,90012,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DA06B3N03,2017,8,15,FA0224999,CUORE DELL AMANTE,90015,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0229461,AMANTE CORPORATION
DAYPVR8XB,2017,8,15,FA0019271,DODGER STADIUM,90012,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAGJRGPE8,2017,8,15,FA0248166,SCHNITZLY,90035,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0242640,"LEVI'S ENTERPRISES GROUP, INC."
DA0SE0XKI,2017,8,15,FA0058158,BELLA PITA,90024,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0004294,BELLA PITA INC
DAF9DPR0B,2017,8,15,FA0224978,LEELIN BAKERY AND CAFE,90041,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0229443,"LEELIN ENTREPRISES, INC"
DAIFAH0BJ,2017,8,15,FA0019271,DODGER STADIUM,90012,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DABZ9XAID,2017,8,15,FA0019271,DODGER STADIUM,90012,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAEIXR1FV,2017,8,15,FA0137521,FAT SAL'S,90028,94,A,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,31-60 SEATS,HIGH RISK,OW0100572,"FOUNTAIN HIGH GROUP, LLC."
DA1QP5SBF,2017,8,15,FA0016902,HILTON HOTEL - THE BISTRO,90045,97,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0012185,FORTUNA ENTERPRISES
DABKYB7NR,2017,8,15,FA0160563,SUNNY GRILL,90066,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0125519,SUNNY GRILL INC.
DAHKO3MZY,2017,8,15,FA0137497,LADY M CONFECTIONS,90048,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0100529,LADY M WEST-THIRD LLC
DA2DSU2QD,2017,8,15,FA0005965,BOB'S CAFE,90010,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0025409,MUSTAFA BOURHAN A
DARUGQNOD,2017,8,15,FA0166376,THE DISTRICT,90046,90,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0129532,A&M ON THIRD LLC
DAFJ0IIDT,2017,8,15,FA0136708,ZIA VALENTINA,90036,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0099355,ZIA VALENTINA LLC
DAUHJXT5P,2017,8,15,FA0069210,RALPHS MARKET # 100,90046,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"25-1,999 SF",MODERATE RISK,OW0029458,RALPHS GROCERY COMPANY
DA17HHSC3,2017,8,15,FA0032637,SHAHAN'S ANARKALI RESTAURANT,90038,84,B,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0032394,SHAHYLAL CORP
DAEIJQF3G,2017,8,15,FA0174995,COMBO'S NY PIZZERIA,90028,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0181604,COMBOS PIZZA INC
DA74CUEBS,2017,8,15,FA0019271,DODGER STADIUM,90012,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAY0PYEF1,2017,8,15,FA0051821,THE VILLAGE IDIOT,90046,92,A,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,61-150 SEATS,HIGH RISK,OW0036741,"TVI INTERPRISES, LLC"
DAXWVQC2G,2017,8,15,FA0016902,HILTON HOTEL - THE BISTRO,90045,99,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0012185,FORTUNA ENTERPRISES
DA0921488,2017,8,15,FA0045359,RANCHO MEAT MARKET,90011,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0026608,"OH, JUNG HWAN"
DA0KYDI3C,2017,8,15,FA0249880,THE SPICY CHICKEN,90020,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0244081,TOPMOST GLOBAL CORP.
DAYER0VBD,2017,8,15,FA0011063,BUIL SANGYE TANG,90020,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0005429,"BUIL SANGYE TANG, INC."
DAPEBV9PI,2017,8,15,FA0244431,MR. JALAPENO,90011,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0005906,"CAMACHO, JESUS J"
DAQ93SMMX,2017,8,15,FA0053093,TRATTORIA BELLA ROMA,90035,92,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0005690,"CAFE BELLA ROMA SPQR, LLC"
DAAYUDIM0,2017,8,15,FA0021718,LE PETIT GREEK,90004,86,B,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0016402,"HOUNDALAS, THOMAS"
DAYH0EOXW,2017,8,15,FA0139038,FOOD 4 LESS #399,90047,98,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0012108,"FOOD 4 LESS, INC."
DAWPHHQZI,2017,8,15,FA0224999,CUORE DELL AMANTE,90015,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0229461,AMANTE CORPORATION
DATQ76CC7,2017,8,15,FA0139038,FOOD 4 LESS #399,90047,91,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0012108,"FOOD 4 LESS, INC."
DACQTQYA9,2017,8,15,FA0009019,BENITO'S,90025,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0023700,"MARYCRUZ, RAMOS ET AL"
DACN6LXBP,2017,8,15,FA0244221,LUCHINI,90028,90,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0239446,HOLLYWOOD CAHUENGA RESTAURANT LLC
DANVDYIPR,2017,8,15,FA0166932,RAMADA LOS ANGELES DOWNTOWN WEST,90006-3703,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0116897,BRAE MANAGEMENT INC.
DADRLKRG5,2017,8,14,FA0180824,FIGUEROA AUTO PLAZA,90065,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0186167,FIGUEROA AUTO EXPRESS
DA6WCPOLL,2017,8,14,FA0024371,GALLERIA MARKET,90020,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0012651,"GALLERIA MARKET, LP"
DA5IZKOO3,2017,8,14,FA0038982,MENDOCINO FARMS,90036,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0009183,"MENDOCINO FARMS, LLC"
DA102STW0,2017,8,15,FA0058567,BOONE'S MARKET,90039,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0014349,"GUTIERREZ, GABINO"
DA5EGI0X0,2017,8,15,FA0241445,ATTICUS ICECREAM AND PIES,90064,84,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0237343,WILMONY BUSINESS CORPORATION
DA5SQ0I7G,2017,8,15,FA0060195,COMPARTES CHOCOLATIER,90049,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0008600,COMPARTE CHOCOLATIER INC.
DATAXREPB,2017,8,14,FA0030543,DRINK COFFEE + TEA,90027,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0000117,"110 SUNSHINE SMOOTHIES, INC."
DAIJQ5GWQ,2017,8,14,FA0007004,ARGENTINIAN EMPANADAS,90034,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0035551,THE EMPANADA FACTORY CORP
DA0921624,2017,8,14,FA0165199,LA PALAPA SINALONSE,90023-3332,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0128480,YOVANA CHAVEZ
DABKGLPN3,2017,8,14,FA0158786,LA MONARCA BAKERY,90028,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0123836,"LA MONARCA BAKERY V., LLC"
DAF3NN6OS,2017,8,14,FA0012758,EL TAPATIO,90006,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0030431,"RODAS, RODEMIRO & JUANA"
DAXDHSGR6,2017,8,14,FA0072510,THE VILLAGE,90036,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0003091,AROYAN MOVSES
DAM0NG0R0,2017,8,14,FA0010939,DELICE BAKERY,90035,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0009712,DELICE 8583 INC
DABPKRTBO,2017,8,14,FA0177615,IT'S BOBA TIME,90020,93,A,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0183528,"BEST BOBA TIME, INC"
DAGIZH005,2017,8,14,FA0177616,OPEN SOURCE ORGANICS,90046,86,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0183529,"POLLERITZER, LLC"
DADHKNG7R,2017,8,14,FA0005023,BASKIN ROBBINS #3119,90026,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0029453,"RAKSANOH, KUNTHEE"
DA0921665,2017,8,14,FA0021153,LA SIRENA RESTAURANT,90023,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0005655,"CABRALES,MARIA"
DAQCMRGUS,2017,8,14,FA0015330,CHUNJU HAN-IL KWAN,90020,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0007000,"CHANG, CHONG"
DAQ9G1D8N,2017,8,14,FA0240092,NEW LA MAR POULTRY MARKET,90006,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0236255,"J LIMB , INC ."
DA8CUIXDC,2017,8,14,FA0249175,WABA GRILL,90046,99,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0243472,MICHAEL & DANIEL INC
DA0920204,2017,8,14,FA0136736,MARISCOS SAN MIGUEL ARCANGEL,90011-1432,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0099393,"PONCE, JUAN CARLOS"
DACUK40FV,2017,8,14,FA0031441,SABOR MEXICANO RESTAURANT,90015,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0036248,"TORRES, CATALINA"
DAULWZBQU,2017,8,14,FA0137521,FAT SAL'S,90028,76,C,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0100572,"FOUNTAIN HIGH GROUP, LLC."
DAGUTETZU,2017,8,14,FA0071294,SUBWAY #40308,90038,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0013263,"TRYAN, INC."
DANJQ25W9,2017,8,14,FA0240747,EL PATRONCITO,90015,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0236788,RODRIGO HERNANDEZ
DAK6AMETU,2017,8,14,FA0039971,MEL'S DRIVE-IN,90028,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0031458,SAN FRANCISCO C&C
DAFH7BRKU,2017,8,14,FA0069735,ROSA MEXICANO,90015,99,A,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,151 + SEATS,HIGH RISK,OW0030320,RM HOSPITALITY GROUP
DA4K8Y8BB,2017,8,14,FA0159783,LOCALI,90291,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0124783,BE MY GUEST INC
DAL0JQGK0,2017,8,14,FA0024371,GALLERIA MARKET,90020,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0012651,"GALLERIA MARKET, LP"
DAY3WFOHW,2017,8,14,FA0029647,HOY'S WOK,90046,81,B,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0017053,"IP, HUNG PAUL"
DAA5J1AMA,2017,8,14,FA0240656,CARRERA CAFE,90046,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0236712,"INTEGRITY FOODS, LLC"
DAIDQWFCJ,2017,8,14,FA0224536,WETZEL'S PRETZELS,90036,91,A,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0117319,"WETZEL PRETZEL, LLC"
DA9RY84A3,2017,8,14,FA0047472,SHAGNHAI BAN JUM,90020,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0031444,SAMWOL INC.
DABZFNLRC,2017,8,14,FA0070998,STARBUCKS COFFEE #13222,90015,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0033938,STARBUCKS COFFEE CORPORATION
DACMXSKMY,2017,8,14,FA0224078,BBQ CHICKEN LA,90020,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0228644,GO INVESTMENT GROUP LLC
DA2W1FNYD,2017,8,14,FA0177430,THE TWIN DRAGON,90035,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0183353,TANG CAPITAL INC.
DA0JIPLPO,2017,8,14,FA0068766,PIZZA HUT #26200,90065,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC
DAAQEZ1RZ,2017,8,11,FA0249686,KOPAN RAMEN,90005-3042,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0243905,"321 JC, INC"
DACHJPZXL,2017,8,11,FA0171399,USC - ANNENBERG CAFE,90089,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0178487,USC / CAPITAL CONST. DEVELOP.
DADWJMEV0,2017,8,11,FA0019271,DODGER STADIUM,90012,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DA13T5IR5,2017,8,11,FA0019766,DRAGON HERBS,90048,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0030686,RON TEEGUARDEN'S ENTERPRIS I
DADDXAZVL,2017,8,11,FA0140807,THE STANDARD DOWNTOWN,90071-2501,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0102692,STANDARD DOWNTOWN LESSEE LLC
DAPALRA4B,2017,8,11,FA0058509,BOBA BEAR,90020,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0004910,"BOBA BEAR, LLC"
DATIDDUCQ,2017,8,11,FA0058791,BURGER KING #5853,90026,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0017494,"JC GRAND HOST, INC."
DACKYDSM8,2017,8,11,FA0027656,PANDERIA LA ESPIGA,90026,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0014263,"GUILLERMINA, CRUZ"
DALJ0TRUR,2017,8,11,FA0067231,MOTHERS NUTRITIONAL CTR #443,90044,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0025172,MOTHER'S NUTRITIONAL CENTER INC
DATLNST5F,2017,8,11,FA0019271,DODGER STADIUM,90012,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DATHUUCAM,2017,8,11,FA0067837,OCHA RESTAURANT,90027,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0038430,WANGPHOKA KHEMWADEE B
DASSFOINN,2017,8,11,FA0044124,PIZZA AMORE,90044,85,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0023240,OSCAR MANUEL GARCIA
DA9AHWPPZ,2017,8,11,FA0044129,PIZZA GO,90020,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0003484,"AWH, JAMES"
DAXCY0P1Q,2017,8,11,FA0068212,PANDA  EXPRESS,90089,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0037014,USC HOSPITALITY SERVICES
DAQJWIW87,2017,8,11,FA0163773,THE SHRIMP LOVER,90027,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0127329,"THE SHRIMP LOVER #1, INC."
DAFQDEONK,2017,8,11,FA0066677,MCDONALD'S #1922,90026,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0015209,HENROSE CORP
DANB4SS4K,2017,8,11,FA0244316,CVS PHARMACY #10916,90046,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0012926,"GARFIELD BEACH CVS, LLC."
DABFBD2UV,2017,8,11,FA0073727,WALGREENS #12419,90064,92,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0038319,WALGREENS CO.
DAU8TUF2U,2017,8,11,FA0031905,KENTUCKY FRIED CHICKEN,90026,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0003860,BANA SIKANDER
DANZFI5RF,2017,8,11,FA0019271,DODGER STADIUM,90012,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DA10R5NIX,2017,8,11,FA0171927,CILANTRO LIME,90015,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0178983,"MATIAS RESTAURANT, INC"
DAQHDU09I,2017,8,11,FA0062546,GARDELIS RESTAURANT,90046,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0005140,"BOZOGHLIAN, CARLOS"
DAXF0T6HF,2017,8,11,FA0019271,DODGER STADIUM,90012,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAARNH011,2017,8,11,FA0140807,THE STANDARD DOWNTOWN,90071-2501,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0102692,STANDARD DOWNTOWN LESSEE LLC
DA8B3PPMM,2017,8,11,FA0166491,LUPITA'S SEAFOOD,90013,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0129632,MIGUEL GARCIA
DAJXHAH71,2017,8,11,FA0064145,JACK IN THE BOX #298,90003,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0035140,"TBS FOODS, INC."
DA0N5WYVY,2017,8,11,FA0019271,DODGER STADIUM,90012,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAD40LLIC,2017,8,11,FA0039177,USC MAIN KITCHEN-BASEMENT,90089,98,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0037014,USC HOSPITALITY SERVICES
DAE4VPG3F,2017,8,11,FA0019271,DODGER STADIUM,90012,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAEAG2BXM,2017,8,11,FA0164848,CAMMILLERI CAFE,90089,100,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0037010,USC
DAWYPERVL,2017,8,11,FA0164401,INK,90069,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0127749,"OTSEGO , INC"
DAV6CYT3H,2017,8,10,FA0033589,KOI RESTAURANT,90069,90,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0019830,KOI LP
DAMH6J15X,2017,8,10,FA0178345,YUP DDUK LA,90020,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0184111,"ALMG INVESTMENTS, LLC"
DAA7MRILN,2017,8,10,FA0175710,POTATO CHIPS DELI,90036,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0182213,DELITALY
DAF0AV02R,2017,8,10,FA0013012,CARL'S JR,90012,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0020258,L.A. TASTY GRILL LLC
DA0965365,2017,8,10,FA0058013,BARBARELLA BAR,90027,100,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0003942,"BARBARELLA BAR, INC."
DA4HIBSAA,2017,8,11,FA0137622,RAMONA'S,90016,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0100750,"RAMONA'S MEXICAN FOOD PRODUCTS, INC."
DAUFWOD5L,2017,8,10,FA0069965,SAKURA RESTAURANT,90066,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0036339,"TOYA, JANIS"
DAIUOB0YA,2017,8,10,FA0045054,RAINBOW ACRES,90066,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0028784,"POLLACK, HOWARD"
DAHNLEYSX,2017,8,10,FA0249873,"TEN RAMEN, INC",90020-5607,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0244076,"TEN RAMEN, INC."
DAZSXZ4KI,2017,8,10,FA0013001,CARL'S JR #273,90020,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0006172,CARL KARCHER ENTERPRISES INC
DAYONQJBA,2017,8,10,FA0203661,EL DELFIN RESTAURANT,90021,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0208810,"JECA MANAGEMENT GROUP, INC"
DAIJSQTYT,2017,8,10,FA0048165,SHAH ABBAS,90048,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0032367,SHAH ABBAS CORPORATION
DA0919307,2017,8,10,FA0060597,DAILY FOOD MARKET,90011,87,B,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0027282,PAK YONG J
DAYGC4HXD,2017,8,10,FA0007057,CAL CAFE & BILLARES INC,90023,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,LOW RISK,OW0005744,CAL CAFE & BILLARES INC
DA30KH89J,2017,8,10,FA0249090,BANGKOK PALACE,90026,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0243393,ROD ALLEN SAMPSON & KANOKWAN PONGPAOTHONG
DAO0SCOFZ,2017,8,10,FA0172354,VERNETTI,90004,94,A,OWNER INITIATED ROUTINE INSPECT.,RESTAURANT,31-60 SEATS,HIGH RISK,OW0179384,GIRASOLE INC
DAGZZYXAO,2017,8,10,FA0027549,HANNOSUKE,90066,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0014761,HANNOSUKE CORPORATION
DATOZTY9Z,2017,8,10,FA0033881,LA BREA MARKET,90036,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0001722,"ADELMAN, ELLIOT"
DA8EFPWNF,2017,8,10,FA0062442,FU-SHING,90037,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0012505,FU-SHING FOOD EXPRESS INC
DAPMA5NHN,2017,8,10,FA0242694,DREAM SUSHI,90020,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0238266,"HYUNDAE HEALTH CENTER, INC"
DANTGFUVE,2017,8,10,FA0046199,RENAISSANCE 96TH STREET BISTRO,90045,91,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0039321,WSRH LAX AIRPORT LLC
DAUZ4B0UU,2017,8,10,FA0034798,LITTLE WANG KUNG,90005,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0021426,MERCY LEE
DAER2YGPO,2017,8,10,FA0013105,ESPERANZA'S BAKERY,90007,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0011261,"ESPERANZA'S BAKERY, INC."
